month,region,product,revenue,units,cost
2024-01,North,Widget A,12400,310,8200
2024-01,North,Widget B,8900,178,5200
2024-01,South,Widget A,15200,380,10100
2024-01,South,Widget B,7600,152,4500
2024-01,East,Widget A,9800,245,6600
2024-01,East,Widget B,11200,224,6800
2024-02,North,Widget A,13100,328,8700
2024-02,North,Widget B,9200,184,5400
2024-02,South,Widget A,16800,420,11200
2024-02,South,Widget B,8100,162,4800
2024-02,East,Widget A,10500,263,7000
2024-02,East,Widget B,11800,236,7200
2024-03,North,Widget A,14200,355,9400
2024-03,North,Widget B,7800,156,4600
2024-03,South,Widget A,18900,473,12600
2024-03,South,Widget B,9500,190,5600
2024-03,East,Widget A,11200,280,7500
2024-03,East,Widget B,12500,250,7600
2024-04,North,Widget A,11800,295,7800
2024-04,North,Widget B,8400,168,5000
2024-04,South,Widget A,17500,438,11700
2024-04,South,Widget B,7200,144,4300
2024-04,East,Widget A,9900,248,6600
2024-04,East,Widget B,10800,216,6500
2024-05,North,Widget A,15500,388,10300
2024-05,North,Widget B,10100,202,6000
2024-05,South,Widget A,19200,480,12800
2024-05,South,Widget B,8800,176,5200
2024-05,East,Widget A,12100,303,8100
2024-05,East,Widget B,13200,264,8000
2024-06,North,Widget A,13800,345,9200
2024-06,North,Widget B,9100,182,5400
2024-06,South,Widget A,20100,503,13400
2024-06,South,Widget B,7900,158,4700
2024-06,East,Widget A,10800,270,7200
2024-06,East,Widget B,11900,238,7200
